Country,Year,,Trade Value,Relative Change
South Africa,2008,Import,34722717,-189.1834204
South Africa,2008,Export,1249332629,84.30857493
Egypt,2008,Import,508380981,-172.0494463
Egypt,2008,Export,6767052438,-30.84510186
Angola,2008,Import,9234972954,6.916096439
Angola,2008,Export,8617621625,181.034158
Kenya,2008,Import,428939103,-172.7795948
Kenya,2008,Export,5874260276,-85.65967358
Nigeria,2009,Import,14675830702,144.0630811
Nigeria,2009,Export,2385960008,195.0883301
South Africa,2009,Import,29661843,-190.9228621
South Africa,2009,Export,1277439292,35.04319868
Egypt,2009,Import,896525833,-143.7219733
Egypt,2009,Export,5475594058,-45.41878326
Angola,2009,Import,8693253033,16.53499775
Angola,2009,Export,7365588491,162.9203937
Kenya,2009,Import,752542778,-148.6310353
Kenya,2009,Export,5107359456,-126.8349737
Nigeria,2010,Import,22815049454,167.7041159
Nigeria,2010,Export,2003872576,192.3237999
Egypt,2010,Import,39207733,-191.4089305
Egypt,2010,Export,1786303416,50.01396578
Angola,2010,Import,1071622397,-144.8219299
Angola,2010,Export,6696843552,-75.94570252
Kenya,2010,Import,14896422261,31.88445591
Kenya,2010,Export,10799862041,168.6654219
Nigeria,2010,Import,917930190,-147.237162
Nigeria,2010,Export,6040984268,-121.9590851
Egypt,2011,Import,24922180492,159.8048103
Egypt,2011,Export,2784153366,191.6041831
Angola,2011,Import,59690991,-190.1681162
Angola,2011,Export,2368775109,39.72695499
Kenya,2011,Import,1583680065,-141.286765
Kenya,2011,Export,9205574275,-110.8435464
Nigeria,2011,Import,32095190401,82.41937759
Nigeria,2011,Export,13362300051,159.1861599
Egypt,2011,Import,1518340176,-130.9968707
Egypt,2011,Export,7283232684,-128.6746522
Angola,2012,Import,33561896917,157.0313136
Angola,2012,Export,4039171270,194.8765074
Kenya,2012,Import,52407939,-192.6216389
Kenya,2012,Export,2788761718,74.58207012
Nigeria,2012,Import,1273793010,-151.7963953
Nigeria,2012,Export,9296312849,-131.0746675
Egypt,2012,Import,44653737210,97.80549832
Egypt,2012,Export,15323311517,168.2592431
Angola,2012,Import,1320736724,-144.6502238
Angola,2012,Export,8223921373,-118.1629962
Kenya,2013,Import,31972669347,155.8773531
Kenya,2013,Export,3964058933,194.7438418
Nigeria,2013,Import,52782890,-193.5438981
Nigeria,2013,Export,3217480883,70.14477856
South Africa,2013,Import,1546602880,-154.4755809
South Africa,2013,Export,12042612840,-120.2885591
Egypt,2013,Import,48388425446,96.77410532
Egypt,2013,Export,16830776066,160.35609
Angola,2013,Import,1851606760,-127.4894953
Angola,2013,Export,8362674701,-115.2475063
Kenya,2014,Import,31106015046,135.5465612
Kenya,2014,Export,5974996819,194.9082217
Nigeria,2014,Import,77039062,-193.8463103
Nigeria,2014,Export,4930627241,59.96277579
South Africa,2014,Import,2656039313,-141.1386549
South Africa,2014,Export,15393424622,-97.31137076
Egypt,2014,Import,44568129974,95.80318383
Egypt,2014,Export,15699145579,172.4885257
Angola,2014,Import,1159516629,-160.0855762
Angola,2014,Export,10460509601,-41.87949851
Kenya,2015,Import,16001611383,124.5967516
Kenya,2015,Export,3717145883,189.6492769
Nigeria,2015,Import,98743024,-193.4314281
Nigeria,2015,Export,5914315875,130.638832
Egypt,2015,Import,1240700780,-166.786088
Egypt,2015,Export,13701240179,-75.02474781
Angola,2015,Import,30151410452,62.13299673
Angola,2015,Export,15857921952,178.1150005
Kenya,2015,Import,917844080,-171.4876027
Kenya,2015,Export,11958576936,-15.48747416
Nigeria,2016,Import,13966117080,157.0409501
Nigeria,2016,Export,1680398624,178.1415177
Egypt,2016,Import,97135495,-193.1652268
Egypt,2016,Export,5587646821,144.1381846
Angola,2016,Import,907008025,-165.8407002
Angola,2016,Export,9713912553,-78.35868243
Kenya,2016,Import,22228893549,53.47670125
Kenya,2016,Export,12849507644,183.4895476
Nigeria,2016,Import,553212429,-179.8639055
Nigeria,2016,Export,10436255851,-65.92237063
Egypt,2017,Import,20698709467,160.6649725
Egypt,2017,Export,2257453225,172.4750128
Angola,2017,Import,166820240,-187.1713015
Angola,2017,Export,5034650207,102.4404374
Kenya,2017,Import,1624049602,-152.8482331
Kenya,2017,Export,12153161394,-66.9668654
Nigeria,2017,Import,24388596208,48.87996991
Nigeria,2017,Export,14808766628,166.7646834
Egypt,2017,Import,1341934131,-150.4253224
Egypt,2017,Export,9485643131,200
