Country,Year,,Trade Value,,Relative Change
Egypt,2007,Import,537080321,,0.053435844
Egypt,2007,Export,3799461765,,-0.781055543
Angola,2007,Import,6618094263,,-0.395412726
Angola,2007,Export,7444900447,,-0.157520062
Kenya,2007,Import,239739333,,-0.789189524
Kenya,2007,Export,4468099230,,-0.314711239
Nigeria,2008,Import,22382523829,,0.344317432
Nigeria,2008,Export,2942469756,,0.189130151
South Africa,2008,Import,34722717,,0.145751094
South Africa,2008,Export,1249332629,,-0.022497342
Egypt,2008,Import,508380981,,-0.763492079
Egypt,2008,Export,6767052438,,0.190845038
Angola,2008,Import,9234972954,,0.058659611
Angola,2008,Export,8617621625,,0.14528755
Kenya,2008,Import,428939103,,-0.754428013
Kenya,2008,Export,5874260276,,0.130552748
Nigeria,2009,Import,14675830702,,-0.554600207
Nigeria,2009,Export,2385960008,,0.160139915
South Africa,2009,Import,29661843,,-0.3218239
South Africa,2009,Export,1277439292,,-0.398347011
Egypt,2009,Import,896525833,,-0.195305654
Egypt,2009,Export,5475594058,,-0.223035068
Angola,2009,Import,8693253033,,-0.713561334
Angola,2009,Export,7365588491,,-0.466259221
Kenya,2009,Import,752542778,,-0.219771443
Kenya,2009,Export,5107359456,,-0.182799903
Nigeria,2010,Import,22815049454,,-0.092357066
Nigeria,2010,Export,2003872576,,-0.389386431
Egypt,2010,Import,39207733,,-0.522429032
Egypt,2010,Export,1786303416,,-0.326076571
Angola,2010,Import,1071622397,,-0.477834048
Angola,2010,Export,6696843552,,-0.374613906
Kenya,2010,Import,14896422261,,-1.154556969
Kenya,2010,Export,10799862041,,-0.23726581
Nigeria,2010,Import,917930190,,-0.65409112
Nigeria,2010,Export,6040984268,,-0.205636757
Egypt,2011,Import,24922180492,,-0.346667758
Egypt,2011,Export,2784153366,,-0.450771829
Angola,2011,Import,59690991,,0.122012583
Angola,2011,Export,2368775109,,-0.177301175
Kenya,2011,Import,1583680065,,0.195675289
Kenya,2011,Export,9205574275,,-0.009856916
Nigeria,2011,Import,32095190401,,-0.391290616
Nigeria,2011,Export,13362300051,,-0.14675703
Egypt,2011,Import,1518340176,,0.130144387
Egypt,2011,Export,7283232684,,-0.129158127
Angola,2012,Import,33561896917,,0.047352138
Angola,2012,Export,4039171270,,0.018595977
Kenya,2012,Import,52407939,,-0.007154469
Kenya,2012,Export,2788761718,,-0.153731013
Nigeria,2012,Import,1273793010,,-0.214171273
Nigeria,2012,Export,9296312849,,-0.295418198
Egypt,2012,Import,44653737210,,-0.083636633
Egypt,2012,Export,15323311517,,-0.098377204
Angola,2012,Import,1320736724,,-0.401949932
Angola,2012,Export,8223921373,,-0.016871918
Kenya,2013,Import,31972669347,,0.027106098
Kenya,2013,Export,3964058933,,-0.507292631
Nigeria,2013,Import,52782890,,-0.459546114
Nigeria,2013,Export,3217480883,,-0.532449584
South Africa,2013,Import,1546602880,,-0.717337623
South Africa,2013,Export,12042612840,,-0.278246243
Egypt,2013,Import,48388425446,,0.078950605
Egypt,2013,Export,16830776066,,0.067235788
Angola,2013,Import,1851606760,,0.37377814
Angola,2013,Export,8362674701,,-0.25085693
Kenya,2014,Import,31106015046,,0.485578228
Kenya,2014,Export,5974996819,,0.377883203
Nigeria,2014,Import,77039062,,-0.281726717
Nigeria,2014,Export,4930627241,,-0.19950578
South Africa,2014,Import,2656039313,,0.532875596
South Africa,2014,Export,15393424622,,0.109929043
Egypt,2014,Import,44568129974,,0.32347598
Egypt,2014,Export,15699145579,,-0.010113695
Angola,2014,Import,1159516629,,0.208425255
Angola,2014,Export,10460509601,,-0.143211697
Kenya,2015,Import,16001611383,,0.127205583
Kenya,2015,Export,3717145883,,0.547933098
Nigeria,2015,Import,98743024,,0.016279925
Nigeria,2015,Export,5914315875,,0.055233616
Egypt,2015,Import,1240700780,,0.268955062
Egypt,2015,Export,13701240179,,0.291019468
Angola,2015,Import,30151410452,,0.262757754
Angola,2015,Export,15857921952,,0.1897105
Kenya,2015,Import,917844080,,0.397269709
Kenya,2015,Export,11958576936,,0.127299518
Nigeria,2016,Import,13966117080,,-0.482066157
Nigeria,2016,Export,1680398624,,-0.3434034
Egypt,2016,Import,97135495,,-0.717397332
Egypt,2016,Export,5587646821,,0.098967711
Angola,2016,Import,907008025,,-0.790557037
Angola,2016,Export,9713912553,,-0.251108791
Kenya,2016,Import,22228893549,,-0.097157452
Kenya,2016,Export,12849507644,,-0.152477359
Nigeria,2016,Import,553212429,,-1.425712187
Nigeria,2016,Export,10436255851,,0.091087525
Egypt,2017,Import,20698709467,,
Egypt,2017,Export,2257453225,,
Angola,2017,Import,166820240,,
Angola,2017,Export,5034650207,,
Kenya,2017,Import,1624049602,,
Kenya,2017,Export,12153161394,,
Nigeria,2017,Import,24388596208,,
Nigeria,2017,Export,14808766628,,
Egypt,2017,Import,1341934131,,
Egypt,2017,Export,9485643131,,
