Year,Country,GDP total,GDP growth,GDP per capita
2011,Angola,1.12E+11,0.336523542,4615.468028
2012,Angola,1.28E+11,0.142857143,5100.095808
2013,Angola,1.37E+11,0.0703125,5254.882338
2014,Angola,1.46E+11,0.065693431,5408.410496
2015,Angola,1.16E+11,-0.205479452,4166.979684
2016,Angola,1.01E+11,-0.129310345,3506.072885
2017,Angola,1.22E+11,0.207920792,4095.812942
2018,Angola,1.06E+11,-0.131147541,3432.385736
1960,Brazil,15165569913,null,210.1098994
1961,Brazil,15236854859,0.004700446,205.0407683
1962,Brazil,19926293839,0.307769485,260.4256531
1963,Brazil,23021477292,0.155331618,292.2521363
1964,Brazil,21211892260,-0.07860421,261.6666196
1965,Brazil,21790035117,0.0272556,261.3543545
1966,Brazil,27062716578,0.241976731,315.7972029
1967,Brazil,30591834054,0.130405145,347.4930561
1968,Brazil,33875881876,0.107350472,374.7867754
1969,Brazil,37458898244,0.105768947,403.8842673
1970,Brazil,42327600098,0.129974508,445.0231006
1971,Brazil,49204456700,0.162467435,504.7495161
1972,Brazil,58539008786,0.189709484,586.214405
1973,Brazil,79279057731,0.354294502,775.2733003
1974,Brazil,1.05E+11,0.324435519,1004.10491
1975,Brazil,1.24E+11,0.180952381,1153.830958
1976,Brazil,1.53E+11,0.233870968,1390.624975
1977,Brazil,1.76E+11,0.150326797,1567.006182
1978,Brazil,2.01E+11,0.142045455,1744.257129
1979,Brazil,2.25E+11,0.119402985,1908.487627
1980,Brazil,2.35E+11,0.044444444,1947.27643
1981,Brazil,2.64E+11,0.123404255,2132.883317
1982,Brazil,2.82E+11,0.068181818,2226.767261
1983,Brazil,2.03E+11,-0.280141844,1570.539747
1984,Brazil,2.09E+11,0.02955665,1578.926417
1985,Brazil,2.23E+11,0.066985646,1648.082104
1986,Brazil,2.68E+11,0.201793722,1941.491109
1987,Brazil,2.94E+11,0.097014925,2087.307605
1988,Brazil,3.30E+11,0.12244898,2300.376844
1989,Brazil,4.26E+11,0.290909091,2908.496158
1990,Brazil,4.62E+11,0.084507042,3100.280468
1991,Brazil,6.03E+11,0.305194805,3975.390089
1992,Brazil,4.01E+11,-0.334991708,2596.919876
1993,Brazil,4.38E+11,0.092269327,2791.209124
1994,Brazil,5.58E+11,0.273972603,3500.61149
1995,Brazil,7.69E+11,0.378136201,4748.215529
1996,Brazil,8.50E+11,0.105331599,5166.163745
1997,Brazil,8.83E+11,0.038823529,5282.008828
1998,Brazil,8.64E+11,-0.021517554,5087.152221
1999,Brazil,5.99E+11,-0.306712963,3478.37273
2000,Brazil,6.55E+11,0.093489149,3749.75325
2001,Brazil,5.59E+11,-0.146564885,3156.798718
2002,Brazil,5.08E+11,-0.091234347,2829.283192
2003,Brazil,5.58E+11,0.098425197,3070.910491
2004,Brazil,6.69E+11,0.198924731,3637.462389
2005,Brazil,8.92E+11,0.333333333,4790.437088
2006,Brazil,1.11E+12,0.244394619,5886.463588
2007,Brazil,1.40E+12,0.261261261,7348.030794
2008,Brazil,1.70E+12,0.214285714,8831.023117
2009,Brazil,1.67E+12,-0.017647059,8597.915352
2010,Brazil,2.21E+12,0.323353293,11286.24302
2011,Brazil,2.62E+12,0.185520362,13245.61553
2012,Brazil,2.47E+12,-0.057251908,12370.0242
2013,Brazil,2.47E+12,0,12300.32258
2014,Brazil,2.46E+12,-0.004048583,12112.5903
2015,Brazil,1.80E+12,-0.268292683,8814.000987
2016,Brazil,1.80E+12,0,8712.887044
2017,Brazil,2.05E+12,0.138888889,9880.946543
2018,Brazil,1.87E+12,-0.087804878,8920.762105
1960,China,59716467625,null,89.52054151
1961,China,50056868958,-0.161757704,75.80583793
1962,China,47209359006,-0.056885499,70.90941167
1963,China,50706799903,0.074083634,74.31364345
1964,China,59708343489,0.177521429,85.49855516
1965,China,70436266147,0.179672087,98.48677775
1966,China,76720285970,0.089215686,104.3245662
1967,China,72881631327,-0.050034415,96.58953194
1968,China,70846535056,-0.027923308,91.47271831
1969,China,79705906247,0.125050169,100.1299033
1970,China,92602973434,0.161808175,113.1629916
1971,China,99800958648,0.077729526,118.6545778
1972,China,1.14E+11,0.142273597,131.8835612
1973,China,1.39E+11,0.219298246,157.0903743
1974,China,1.44E+11,0.035971223,160.1400937
1975,China,1.63E+11,0.131944444,178.3418196
1976,China,1.54E+11,-0.055214724,165.4055404
1977,China,1.75E+11,0.136363636,185.4228329
1978,China,1.50E+11,-0.142857143,156.3963885
1979,China,1.78E+11,0.186666667,183.9831522
1980,China,1.91E+11,0.073033708,194.8047222
1981,China,1.96E+11,0.02617801,197.0714745
