,,Angola,,,,Kenya,,,,Nigera,,,,Egypt,,,,Aggregate Sum
1980,,,,,,,,,,,,,,,,,,
,1997,7648377413,0.016200315,514.2952232,,13115773738,0.088820179,445.8772703,,54457835193,0.066215685,469.4305648,,78436578171,0.159794565,1208.719901,,0.331030744
,1998,6506229607,-0.149332041,423.5936602,,14093998844,0.074583866,465.909801,,54604050168,0.002684921,497.8415405,,84828807556,0.081495516,1281.39672,,0.009432262
,1999,6152922943,-0.054302827,387.784316,,12896013577,-0.084999671,414.6793898,,59372613486,0.087329846,567.930736,,90710704807,0.069338441,1343.551963,,0.017365789
,2000,9129594819,0.483781758,556.8363181,,12705357103,-0.01478414,397.4826588,,69448756933,0.16971029,590.381815,,99838543960,0.100625821,1450.476242,,0.739333729
,2001,8936063723,-0.021198213,527.3335285,,12986007426,0.022089133,395.3295318,,74030364472,0.065971052,741.7475112,,97632008710,-0.022101036,1391.707846,,0.044760936
,2002,15285594828,0.710551234,872.4944916,,13147743911,0.012454674,389.542711,,95385819321,0.28846886,795.3862467,,87850683979,-0.100185634,1228.937975,,0.911289134
,2003,17812705294,0.165326276,982.9608993,,14904517650,0.133617885,429.7878437,,1.05E+11,0.100792558,1007.874328,,82924503943,-0.056074464,1138.664673,,0.343662255
,2004,23552052408,0.322205247,1255.564045,,16095337094,0.079896544,451.6687159,,1.36E+11,0.295238095,1268.383443,,78845185293,-0.049193163,1063.003663,,0.648146723
,2005,36970918699,0.569753585,1902.422346,,18737897745,0.164181752,511.6164222,,1.76E+11,0.294117647,1656.424759,,89685725230,0.137491464,1187.51969,,1.165544448
,2006,52381006892,0.41681648,2599.566464,,25825524821,0.378250921,685.9545322,,2.36E+11,0.340909091,1883.461311,,1.07E+11,0.193054968,1398.190624,,1.32903146
,2007,65266452081,0.245994607,3121.995637,,31958195182,0.237465469,825.6665976,,2.76E+11,0.169491525,2242.871886,,1.30E+11,0.214953271,1667.843721,,0.867904872
,2008,88538611205,0.356571537,4080.94141,,35895153328,0.123190879,902.0700258,,3.37E+11,0.221014493,1891.33537,,1.63E+11,0.253846154,2044.527855,,0.954623063
,2009,70307163678,-0.205915219,3122.780766,,37021512049,0.031379131,905.1317861,,2.92E+11,-0.133531157,2292.445156,,1.89E+11,0.159509202,2329.23948,,-0.148558043
,2010,83799496611,0.191905522,3587.883798,,40000088347,0.080455285,951.6879611,,3.63E+11,0.243150685,2520.404166,,2.19E+11,0.158730159,2644.817039,,0.674241651
,2011,1.12E+11,0.336523542,4615.468028,,41953433591,0.048833523,971.633329,,4.10E+11,0.129476584,2746.991789,,2.36E+11,0.077625571,2791.954962,,0.59245922
,2012,1.28E+11,0.142857143,5100.095808,,50412754861,0.20163597,1136.871406,,4.59E+11,0.119512195,2998.072843,,2.79E+11,0.18220339,3232.648892,,0.646208698
,2013,1.37E+11,0.0703125,5254.882338,,55096728048,0.092912462,1210.388014,,5.15E+11,0.122004357,3222.693537,,2.89E+11,0.035842294,3264.378787,,0.321071613
,2014,1.46E+11,0.065693431,5408.410496,,61448046802,0.115275788,1315.804535,,5.68E+11,0.102912621,2730.430324,,3.06E+11,0.058823529,3378.831358,,0.342705369
,2015,1.16E+11,-0.205479452,4166.979684,,64007750179,0.041656383,1336.883349,,4.95E+11,-0.128521127,2175.99967,,3.33E+11,0.088235294,3598.970948,,-0.204108902
,2016,1.01E+11,-0.129310345,3506.072885,,69188755511,0.080943406,1410.527571,,4.05E+11,-0.181818182,1968.559588,,3.33E+11,0,3525.020165,,-0.230185121
,2017,1.22E+11,0.207920792,4095.812942,,78757391333,0.138297556,1568.201541,,3.76E+11,-0.071604938,2028.18197,,2.35E+11,-0.294294294,2440.510173,,-0.019680884
,2018,1.06E+11,-0.131147541,3432.385736,,87908262520,0.116190633,1710.510097,,3.97E+11,0.055851064,39286.73765,,2.51E+11,0.068085106,2549.139458,,0.108979262
