2009,Egypt,2329.23948
2010,Egypt,2644.817039
2011,Egypt,2791.954962
2012,Egypt,3232.648892
2013,Egypt,3264.378787
2014,Egypt,3378.831358
2015,Egypt,3598.970948
2016,Egypt,3525.020165
2017,Egypt,2440.510173
2018,Egypt,2549.139458
1960,European Union,877.1046707
1961,European Union,946.854116
1962,European Union,1025.296067
1963,European Union,1119.512748
1964,European Union,1229.895467
1965,European Union,1328.306515
1966,European Union,1428.865436
1967,European Union,1524.186551
1968,European Union,1573.512946
1969,European Union,1717.087016
1970,European Union,1935.56599
1971,European Union,2178.064809
1972,European Union,2591.440272
1973,European Union,3271.252767
1974,European Union,3656.877657
1975,European Union,4240.957788
1976,European Union,4372.114414
1977,European Union,4930.488342
1978,European Union,6017.978859
1979,European Union,7320.085672
1980,European Union,8320.102208
1981,European Union,7334.287925
1982,European Union,7039.053377
1983,European Union,6806.924099
1984,European Union,6521.092749
1985,European Union,6723.254641
1986,European Union,9193.85139
1987,European Union,11343.13004
1988,European Union,12613.09992
1989,European Union,12835.73655
1990,European Union,15864.22743
1991,European Union,16403.24479
1992,European Union,17819.1148
1993,European Union,16198.92769
1994,European Union,17160.81375
1995,European Union,19887.59678
1996,European Union,20286.9947
1997,European Union,19115.79818
1998,European Union,19743.1387
1999,European Union,19673.54383
2000,European Union,18250.30918
2001,European Union,18430.6157
2002,European Union,20045.8575
2003,European Union,24306.22935
2004,European Union,27951.75367
2005,European Union,29120.33007
2006,European Union,30950.59862
2007,European Union,35636.42072
2008,European Union,38198.6029
2009,European Union,34035.82372
2010,European Union,33729.24065
2011,European Union,36456.54845
2012,European Union,34284.28744
2013,European Union,35635.2239
2014,European Union,36735.32708
2015,European Union,32265.88088
2016,European Union,32376.28376
2017,European Union,33873.285
2018,European Union,36546.39969
1960,India,82.18860398
1961,India,85.35430322
1962,India,89.88175884
1963,India,101.1264306
1964,India,115.5374998
1965,India,119.3189201
1966,India,89.99730812
1967,India,96.33913895
1968,India,99.87596699
1969,India,107.6223204
1970,India,112.4344962
1971,India,118.6032449
1972,India,122.9818668
1973,India,143.7786915
1974,India,163.4781151
1975,India,158.0361755
1976,India,161.0920956
1977,India,186.2135058
1978,India,205.693391
1979,India,224.0010222
1980,India,266.5778545
1981,India,270.4706089
1982,India,274.111338
1983,India,291.2381171
1984,India,276.6679653
1985,India,296.4351586
1986,India,310.4659425
1987,India,340.4168398
1988,India,354.1492601
1989,India,346.1128956
1990,India,367.5566181
1991,India,303.0556126
1992,India,316.9539355
1993,India,301.1590114
1994,India,346.1029586
1995,India,373.766489
1996,India,399.9500863
1997,India,415.4938069
1998,India,413.2989441
1999,India,441.9987702
2000,India,443.314204
2001,India,451.5730119
2002,India,470.9867972
2003,India,546.7266276
2004,India,627.7742623
2005,India,714.8610803
2006,India,806.7532837
2007,India,1028.334759
2008,India,998.5222694
2009,India,1101.960919
2010,India,1357.563701
2011,India,1458.103145
2012,India,1443.879529
2013,India,1449.605912
2014,India,1573.881492
2015,India,1605.605431
2016,India,1729.268021
2017,India,1981.499045
2018,India,2015.590485
1960,Japan,478.9953402
1961,Japan,563.5867598
1962,Japan,633.6403152
1963,Japan,717.8669152
1964,Japan,835.6572525
1965,Japan,919.7766882
1966,Japan,1058.503561
1967,Japan,1228.90921
1968,Japan,1450.619652
1969,Japan,1669.0982
1970,Japan,2037.559901
1971,Japan,2272.077802
1972,Japan,2967.041996
1973,Japan,3997.84112
1974,Japan,4353.824355
1975,Japan,4659.120115
1976,Japan,5197.806697
1977,Japan,6335.787627
1978,Japan,8821.843492
1979,Japan,9105.136097
1980,Japan,9465.379714
1981,Japan,10361.32306
1982,Japan,9578.113803
1983,Japan,10425.40682
1984,Japan,10984.86583
1985,Japan,11584.64933
1986,Japan,17111.85373
1987,Japan,20745.25209
1988,Japan,25051.85432
1989,Japan,24813.29938
1990,Japan,25359.34702
1991,Japan,28925.04158
1992,Japan,31464.54905
1993,Japan,35765.91409
1994,Japan,39268.56687
1995,Japan,43440.36787
